股票代码,股票名称,当前价,涨跌额,涨跌幅/%,年初至今/%,成交量,成交额,换手率/%,市盈率TTM,股息率/%,市值
SH603533,掌阅科技,27.35,0.33,1.22,62.23,2302000,62851217,0.57,52.838,0.555,10967350000
SH603931,格林达,53.25,0.9,1.72,149.06,1193732,62403770,4.69,53.826,0,5421675375
SH601311,骆驼股份,8.31,0.13,1.59,17.63,7508297,62287079,0.67,17.481,1.977,9321353667
SH601319,中国人保,6.91,-0.07,-1,-7.55,8923580,61837848,0.16,15.705,2.184,305587774929
SH603690,至纯科技,37.94,-0.68,-1.76,16.66,1626200,61738383,0.67,101.086,0.219,9866220323
SH600004,白云机场,13.63,-0.17,-1.23,-21.09,4506974,61604039,0.22,78.678,1.051,28204838606
SH601128,常熟银行,8.14,-0.03,-0.37,-8.38,7544095,61586333,0.29,12.415,2.469,22310567230
SH600011,华能国际,5.32,-0.11,-2.03,-1.69,11590205,61560250,0.11,23.26,2.505,83513856670
SH603700,宁水集团,29.23,-1.24,-4.07,66.34,2081860,61480157,2.01,23.808,0.772,5940763660
SH603489,八方股份,190.14,2.88,1.54,86.64,323641,61346485,1.08,66.86,0.54,22816800000
SH603866,桃李面包,61.36,1.11,1.84,47.52,1004280,61126237,0.15,52.331,1.628,41734169795
SH603833,欧派家居,117.59,0.7,0.6,41.87,515286,60648301,0.09,41.356,0.645,70125797544
SH603719,良品铺子,63.54,-1.99,-3.04,435.75,939220,60255341,2.29,83.194,0.389,25479540000
SH603713,密尔克卫,124.65,-2.91,-2.28,211.89,477100,60071455,0.7,79.483,0.15,19287965056
SH601198,东兴证券,13.43,0.09,0.67,3.26,4504475,59967625,0.16,32.309,1.054,37039411624
SH600498,烽火通信,24.67,-0.32,-1.28,-9.07,2415306,59813173,0.22,47.554,1.362,28867668343
SH600861,北京城乡,19.81,0.46,2.38,133.02,3024988,59702302,0.95,-62.618,0.104,6275906040
SH603056,德邦股份,16.59,-0.06,-0.36,49.65,3619821,59372328,1.66,42.745,0.182,15926400000
SH600986,科达股份,5.15,-0.11,-2.09,3.83,11086800,57575821,0.85,-2.743,0,6821444659
SH603267,鸿远电子,85.96,1.65,1.96,134.59,672231,57526806,0.43,64.854,0.008,19897676960
SH601006,大秦铁路,6.5,0,0,-15.02,8835203,57509090,0.06,8.638,7.385,96634144692
SH600873,梅花生物,5.57,-0.03,-0.54,32.37,10258854,57240425,0.33,17.98,4.635,17267121693
SH603236,移远通信,207.19,0.03,0.01,70.75,275929,57123819,0.39,159.009,0.203,22172645040
SH600419,天润乳业,16,0.32,2.04,33.19,3573108,57012577,1.33,30.174,0.997,4297589392
SH600185,格力地产,11.52,-0.07,-0.6,138.02,4903352,56843550,0.24,43.924,0,23743773274
SH600297,广汇汽车,3.45,-0.06,-1.71,5.83,16297580,56571556,0.2,17.579,0,27980541038
SH601872,招商轮船,6,-0.07,-1.15,-26.07,9375868,56451145,0.18,10.05,1.647,40440720684
SH600983,惠而浦,7.58,-0.31,-3.93,55.29,7280610,55971317,1.37,-15.965,0.635,5809607620
SH601028,玉龙股份,12.56,0.46,3.8,145.79,4483260,55762922,0.57,114.682,0,9834803546
SH600919,江苏银行,6.21,-0.01,-0.16,-10.01,8934491,55625578,0.08,4.814,4.455,71691427096
SH605050,福然德,13.05,0.14,1.08,19.72,4305720,55553563,5.74,21.736,,5676750000
SH600208,新湖中宝,3.48,-0.01,-0.29,-7.67,15827600,55515584,0.18,10.849,0.287,29925715505
SH600493,凤竹纺织,6.66,0.28,4.39,19.57,8412211,55182592,3.09,104.652,0.468,1811520000
SH603131,上海沪工,20.36,0.25,1.24,46.64,2630567,54817472,0.89,63.307,0.497,6473955771
SH600216,浙江医药,15.73,-0.05,-0.32,23.81,3479717,54721579,0.36,31.086,6.365,15181463440
SH600085,同仁堂,27.6,-0.19,-0.68,-1.11,1983011,54700806,0.14,47.011,2.735,37852579231
SH603520,司太立,83.93,-0.42,-0.5,177.58,648522,54525599,0.28,94.578,0.288,20520790495
SH600267,海正药业,17.76,-0.06,-0.34,79.79,3074986,54431287,0.32,60.966,0.281,17147845514
SH600025,华能水电,4.17,-0.04,-0.95,3.1,12845353,53824033,0.14,18.279,3.599,75060000000
SH600073,上海梅林,10.65,-0.05,-0.47,35.23,5024975,53543027,0.54,25.028,1.123,9986818877
SH601127,小康股份,9.44,-0.37,-3.77,-16.82,5647040,53505119,0.61,-150.731,0.417,11901656065
SH601208,东材科技,9.93,0.13,1.33,101.83,5429602,53422816,0.89,22.773,0,6222147930
SH603858,步长制药,26.28,-0.05,-0.19,34.33,2030566,53331808,0.18,14.644,6.158,30000738431
SH600258,首旅酒店,16.57,-0.21,-1.25,-19.3,3157364,52886199,0.32,-93.302,0.417,16374854480
SH600728,佳都科技,9.27,-0.11,-1.17,-0.75,5686853,52875202,0.33,34.13,0.427,16291167497
SH600218,全柴动力,10.19,-0.27,-2.58,-8.11,5146586,52869336,1.4,25.052,0.765,3757613450
SH603305,旭升股份,40.03,-0.53,-1.31,17.91,1305300,52829076,0.31,68.267,0,17894950434
SH601858,中国科传,11.26,-0.01,-0.09,4.77,4568097,52615669,0.58,19.343,1.673,8901030000
SH601908,京运通,5.74,-0.06,-1.03,91.33,9094997,52319160,0.46,27.169,0,11439921604
SH601236,红塔证券,18.78,-0.19,-1,12.52,2768823,52073414,0.19,51.474,0.527,68235353337
SH600410,华胜天成,12.5,-0.15,-1.19,21.47,4148520,52038557,0.38,48.07,0.237,13734292288
SH600369,西南证券,5.49,-0.05,-0.9,7.7,9400826,51747537,0.17,37.161,1.233,36481649091
SH600332,白云山,31.15,-0.33,-1.05,-11.04,1648215,51538756,0.12,21.052,1.87,50643388061
SH600360,华微电子,8.48,-0.13,-1.51,29.05,6041000,51398658,0.63,171.396,0.292,8143304178
SH603638,艾迪精密,60.8,-0.15,-0.25,190.49,846234,51250086,0.15,80.309,0.192,36407624653
SH600742,一汽富维,11.11,0.12,1.09,21.64,4590886,51165074,0.69,14.658,1.379,7433933954
SH600019,宝钢股份,5.02,-0.02,-0.4,-7.24,10169883,51086093,0.05,11.063,5.556,111801866387
SH603155,新亚强,37.58,0.18,0.48,17.99,1355082,51007555,3.48,31.065,0.693,5845944800
SH600556,天下秀,19.48,-0.34,-1.72,60.57,2591700,50932131,0.74,118.288,0.072,35214924066
SH600975,新五丰,8.9,-0.25,-2.73,11.08,5675853,50774346,0.87,28.112,0.33,5808812698
SH600237,铜峰电子,4.78,-0.11,-2.25,35.8,10414619,50621383,1.85,-19.459,0,2697686521
SH600771,广誉远,16.66,-0.23,-1.36,-1.77,3026929,50615763,0.62,145.956,0,8196714952
SH600550,保变电气,5.01,-0.11,-2.15,62.66,10074273,50589120,0.66,87.854,0,9226057685
SH600446,金证股份,18.58,-0.27,-1.43,-9.61,2711923,50571527,0.32,49.31,0.149,15986984193
SH600323,瀚蓝环境,28.13,-0.17,-0.6,61.93,1781049,50279039,0.23,23.574,0.785,21555006826
SH600165,新日恒力,7.25,-0.12,-1.63,87.34,6900300,50276443,1.01,-185.271,0,4965407369
SH603536,惠发食品,20.29,-0.2,-0.98,-13.94,2485680,49977944,1.48,73.059,0.098,3408720000
SH601229,上海银行,8.28,-0.05,-0.6,-8.89,6003844,49829875,0.04,5.678,4.813,117630057636
SH605199,葫芦娃,29.98,0.73,2.5,477.65,1694766,49749317,4.23,98.097,0,11995260385
SH605198,德利股份,26.14,-0.62,-2.32,243.95,1877664,49622051,9.39,56.268,,9880920000
SH600545,卓郎智能,5.48,0.02,0.37,-9.72,9010308,49429429,0.48,47.251,0,10386863213
SH603990,麦迪科技,45.22,1.15,2.61,69.83,1102100,49243913,0.76,199.404,0.223,6584032000
SH600711,盛屯矿业,5.69,0.01,0.18,8.35,8677612,49156970,0.45,43.921,0.737,13169299523
SH600155,华创阳安,12.83,-0.18,-1.38,-8.55,3811317,49095004,0.22,91.372,0,22318511794
SH600496,精工钢构,5.78,-0.07,-1.2,100.84,8382800,48787053,0.55,23.632,0.354,11634413737
SH600855,航天长峰,16.54,-0.11,-0.66,34.84,2908800,48533370,0.85,39.964,0.181,7253395910
SH603067,振华股份,7.25,0.25,3.57,21.53,6696884,48066650,1.55,25.191,1.414,3126200000
SH600645,中源协和,26.6,0.32,1.22,57.12,1827646,48048957,0.44,183.765,0,12447999074
SH600326,西藏天路,8.14,-0.16,-1.93,12.13,5860970,47950035,0.64,20.633,0.91,7476799255
SH603757,大元泵业,24.91,-0.49,-1.93,65.48,1842776,47292630,1.12,20.885,1.998,4091417680
SH600516,方大炭素,6.25,-0.05,-0.79,-28.04,7529267,47134083,0.2,31.031,0,23787314800
SH603311,金海环境,18.42,0.96,5.5,67.03,2607800,47047201,1.24,47.361,0.904,3868200000
SH600171,上海贝岭,16.26,-0.32,-1.93,3.91,2870900,46964514,0.43,63.341,0.662,11449017444
SH600667,太极实业,10.74,0.02,0.19,34.07,4377200,46925799,0.21,34.565,1.377,22620482512
SH600848,上海临港,23.45,-0.11,-0.47,-3.41,1983954,46817571,0.19,35.903,1.009,49293499571
SH605008,长鸿高科,19.69,0.1,0.51,86.81,2387478,46778177,5.19,43.289,,9034621683
SH603223,恒通股份,17.23,0.83,5.06,173.14,2722808,46342475,0.96,295.89,0.018,4862995200
SH605088,冠盛股份,21.11,0.27,1.3,35.58,2208574,46326750,5.52,23.94,1.432,3377600000
SH601766,中国中车,5.57,-0.05,-0.89,-20.01,8263330,46196129,0.03,14.93,2.669,159852672970
SH603313,梦百合,27.72,-0.75,-2.63,31.31,1649439,46091437,0.48,25.409,0,9577503021
SH600566,济川药业,23.45,0.05,0.21,2.59,1964319,45870845,0.24,14.224,5.256,19110046709
SH601699,潞安环能,6.39,-0.09,-1.39,-8.23,7143100,45819518,0.24,9.73,3.7,19115104788
SH600882,妙可蓝多,40.09,-0.61,-1.5,174.97,1131700,45366290,0.28,344.85,0,16409199614
SH600737,中粮糖业,9.18,-0.01,-0.11,10.2,4837400,44456476,0.23,27.722,1.346,19634626733
SH600531,豫光金铅,5,-0.13,-2.53,8.11,8841400,44180654,0.81,28.126,1.19,5451213170
SH600056,中国医药,15.26,-0.11,-0.72,19.22,2879461,43934691,0.27,15.234,1.798,16305089249
SH600487,亨通光电,15.09,0.02,0.13,-6.74,2905844,43869143,0.15,27.418,0.53,29467213589
SH601997,贵阳银行,7.78,-0.03,-0.38,-15.11,5634309,43860863,0.18,4.183,3.974,25036262975
SH603985,恒润股份,28.76,-0.01,-0.03,163.76,1525090,43809018,0.75,29.751,1.446,5862438400
SH603000,人民网,18.8,-0.27,-1.42,-4.39,2310500,43689660,0.21,64.968,0.686,20786991853
SH600313,农发种业,4.89,-0.02,-0.41,73.4,8834200,43393325,0.87,277.32,0,5291951462
SH603363,傲农生物,19.82,-0.51,-2.51,25.13,2160500,43084195,0.51,29.661,0.495,10263371890
SH603612,索通发展,14,-0.24,-1.69,13.46,3063209,42814035,0.72,52.733,0.346,6070121386
SH600754,锦江酒店,39.95,-0.4,-0.99,42.04,1070421,42749739,0.13,47.23,1.474,38269560778
SH600998,九州通,18.11,0.2,1.12,27.99,2369945,42675057,0.14,15.143,0,33934714982
SH603661,恒林股份,65.31,-1.38,-2.07,49.45,654800,42661784,2.28,23.841,0.417,6531000000
SH600348,阳泉煤业,5.06,-0.02,-0.39,-2.49,8439250,42634172,0.35,8.957,5.501,12169300000
SH601890,亚星锚链,6.19,-0.01,-0.16,8.8,6815900,42554869,0.71,68.353,0.484,5938686000
SH600761,安徽合力,14.68,-0.02,-0.14,56.64,2900621,42393697,0.39,15.414,2.41,10865854173
SH600198,大唐电信,11.1,-0.21,-1.86,3.84,3779400,42240284,0.43,-13.855,0,9791404039
SH601860,紫金银行,4.2,0.02,0.48,-23.43,9957547,41976962,0.57,10.719,2.381,15375733334
SH603819,神力股份,15.06,0.48,3.29,43.81,2824630,41963675,1.3,36.629,1.589,3279345527
SH603077,和邦生物,1.46,0,0,-1.35,28664402,41852403,0.32,48.777,0,12893625333
SH603920,世运电路,24.9,-0.4,-1.58,32.83,1676410,41679423,0.41,29.447,1.984,10196430480
SH600836,*ST界龙,4.23,-0.12,-2.76,-14.89,9719649,41284647,1.47,17.854,0,2803445495
SH603232,格尔软件,30.54,-0.66,-2.12,34.04,1344414,41177132,0.78,214.617,0.36,5897325735
